Date,Avg_Temperature,Max_Temperature,Min_Temperature,Humidity,Rainfall_Snowmelt,Visibility,Wind_Speed,Max_Sustained_Wind_Speed,City,Month,Year,Day,DayOfWeek,IsWeekend,Season,Daily_PM25
2013-01-01,23.4,30.3,19.0,59.0,0.0,6.3,4.3,5.4,Bangalore,1,2013,1,1,0,Winter,282.4609756097561
2013-01-02,22.4,30.3,16.9,57.0,0.0,6.9,3.3,7.6,Bangalore,1,2013,2,2,0,Winter,234.54324324324324
2013-01-03,24.0,31.8,16.9,51.0,0.0,6.9,2.8,5.4,Bangalore,1,2013,3,3,0,Winter,173.3658536585366
2013-01-04,,,,,,,,,Bangalore,1,2013,4,4,0,Winter,200.24400000000003
2013-01-05,,,,,,,,,Bangalore,1,2013,5,5,1,Winter,213.8467246376812
2013-01-06,,,,,,,,,Bangalore,1,2013,6,6,1,Winter,227.44944927536235
2013-01-07,22.8,30.2,17.6,55.0,0.0,7.7,3.7,7.6,Bangalore,1,2013,7,0,0,Winter,241.05217391304348
2013-01-08,23.1,30.6,17.4,46.0,0.0,6.9,3.3,5.4,Bangalore,1,2013,8,1,0,Winter,217.3
2013-01-09,22.9,30.6,17.4,51.0,0.0,6.9,3.5,3.5,Bangalore,1,2013,9,2,0,Winter,192.4048780487805
2013-01-10,,,,,,,,,Bangalore,1,2013,10,3,0,Winter,150.2219512195122
2013-01-11,,,,,,,,,Bangalore,1,2013,11,4,0,Winter,118.7
2013-01-12,,,,,,,,,Bangalore,1,2013,12,5,1,Winter,211.09268292682924
2013-01-13,22.3,30.1,15.7,43.0,0.0,6.9,2.8,5.4,Bangalore,1,2013,13,6,1,Winter,267.73658536585367
2013-01-14,21.8,30.6,14.8,41.0,0.0,6.9,1.9,5.4,Bangalore,1,2013,14,0,0,Winter,336.803448275862
2013-01-15,21.6,30.6,14.2,43.0,0.0,6.9,3.1,7.6,Bangalore,1,2013,15,1,0,Winter,273.72439024390246
2013-01-16,,,,,,,,,Bangalore,1,2013,16,2,0,Winter,258.7447368421052
2013-01-17,,,,,,,,,Bangalore,1,2013,17,3,0,Winter,228.8756097560976
2013-01-18,,,,,,,,,Bangalore,1,2013,18,4,0,Winter,43.417073170731705
2013-01-19,21.6,29.6,16.4,58.0,0.0,6.9,2.2,3.5,Bangalore,1,2013,19,5,1,Winter,101.02926829268291
2013-01-20,21.9,29.6,16.6,58.0,0.0,6.9,2.4,5.4,Bangalore,1,2013,20,6,1,Winter,104.2780487804878
2013-01-21,22.3,29.9,17.5,55.0,0.0,6.9,3.1,5.4,Bangalore,1,2013,21,0,0,Winter,113.09756097560977
2013-01-22,,,,,,,,,Bangalore,1,2013,22,1,0,Winter,166.17560975609754
